2018-02-04 22:37:43 INFO  SparkContext:59 - Running Spark version 1.5.2
2018-02-04 22:37:46 INFO  Executor:59 - Starting executor ID driver on host localhost
2018-02-04 22:37:47 INFO  Utils:59 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 43243.
2018-02-04 22:37:47 INFO  NettyBlockTransferService:59 - Server created on 43243
2018-02-04 22:37:47 INFO  BlockManagerMaster:59 - Trying to register BlockManager
2018-02-04 22:37:47 INFO  BlockManagerMasterEndpoint:59 - Registering block manager localhost:43243 with 942.8 MB RAM, BlockManagerId(driver, localhost, 43243)
2018-02-04 22:37:47 INFO  BlockManagerMaster:59 - Registered BlockManager
2018-02-04 22:37:48 INFO  SparkContext:59 - Starting job: foreach at SparkRDD1.scala:31
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Got job 0 (foreach at SparkRDD1.scala:31) with 3 output partitions
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Final stage: ResultStage 0(foreach at SparkRDD1.scala:31)
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Parents of final stage: List()
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Missing parents: List()
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Submitting ResultStage 0 (MapPartitionsRDD[1] at filter at SparkRDD1.scala:29), which has no missing parents
2018-02-04 22:37:48 INFO  MemoryStore:59 - ensureFreeSpace(1896) called with curMem=0, maxMem=988639395
2018-02-04 22:37:48 INFO  MemoryStore:59 - Block broadcast_0 stored as values in memory (estimated size 1896.0 B, free 942.8 MB)
2018-02-04 22:37:48 INFO  MemoryStore:59 - ensureFreeSpace(1203) called with curMem=1896, maxMem=988639395
2018-02-04 22:37:48 INFO  MemoryStore:59 - Block broadcast_0_piece0 stored as bytes in memory (estimated size 1203.0 B, free 942.8 MB)
2018-02-04 22:37:48 INFO  BlockManagerInfo:59 - Added broadcast_0_piece0 in memory on localhost:43243 (size: 1203.0 B, free: 942.8 MB)
2018-02-04 22:37:48 INFO  SparkContext:59 - Created broadcast 0 from broadcast at DAGScheduler.scala:861
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Submitting 3 missing tasks from ResultStage 0 (MapPartitionsRDD[1] at filter at SparkRDD1.scala:29)
2018-02-04 22:37:48 INFO  TaskSchedulerImpl:59 - Adding task set 0.0 with 3 tasks
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Starting task 0.0 in stage 0.0 (TID 0, localhost, PROCESS_LOCAL, 2085 bytes)
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Starting task 1.0 in stage 0.0 (TID 1, localhost, PROCESS_LOCAL, 2085 bytes)
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Starting task 2.0 in stage 0.0 (TID 2, localhost, PROCESS_LOCAL, 2142 bytes)
2018-02-04 22:37:48 INFO  Executor:59 - Running task 1.0 in stage 0.0 (TID 1)
2018-02-04 22:37:48 INFO  Executor:59 - Running task 2.0 in stage 0.0 (TID 2)
2018-02-04 22:37:48 INFO  Executor:59 - Running task 0.0 in stage 0.0 (TID 0)
2018-02-04 22:37:48 INFO  Executor:59 - Finished task 1.0 in stage 0.0 (TID 1). 915 bytes result sent to driver
2018-02-04 22:37:48 INFO  Executor:59 - Finished task 0.0 in stage 0.0 (TID 0). 915 bytes result sent to driver
2018-02-04 22:37:48 INFO  Executor:59 - Finished task 2.0 in stage 0.0 (TID 2). 915 bytes result sent to driver
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Finished task 1.0 in stage 0.0 (TID 1) in 163 ms on localhost (1/3)
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Finished task 0.0 in stage 0.0 (TID 0) in 237 ms on localhost (2/3)
2018-02-04 22:37:48 INFO  TaskSetManager:59 - Finished task 2.0 in stage 0.0 (TID 2) in 190 ms on localhost (3/3)
2018-02-04 22:37:48 INFO  DAGScheduler:59 - ResultStage 0 (foreach at SparkRDD1.scala:31) finished in 0.258 s
2018-02-04 22:37:48 INFO  TaskSchedulerImpl:59 - Removed TaskSet 0.0, whose tasks have all completed, from pool 
2018-02-04 22:37:48 INFO  DAGScheduler:59 - Job 0 finished: foreach at SparkRDD1.scala:31, took 0.605941 s
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/metrics/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/stage/kill,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/api,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/static,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/executors/threadDump/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/executors/threadDump,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/executors/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/executors,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/environment/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/environment,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/storage/rdd/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/storage/rdd,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/storage/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/storage,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/pool/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/pool,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/stage/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/stage,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/stages,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/jobs/job/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/jobs/job,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/jobs/json,null}
2018-02-04 22:37:48 INFO  ContextHandler:843 - stopped o.s.j.s.ServletContextHandler{/jobs,null}
2018-02-04 22:37:49 INFO  SparkUI:59 - Stopped Spark web UI at http://10.229.51.168:4040
2018-02-04 22:37:49 INFO  DAGScheduler:59 - Stopping DAGScheduler
2018-02-04 22:37:49 INFO  MapOutputTrackerMasterEndpoint:59 - MapOutputTrackerMasterEndpoint stopped!
2018-02-04 22:37:49 INFO  MemoryStore:59 - MemoryStore cleared
2018-02-04 22:37:49 INFO  BlockManager:59 - BlockManager stopped
2018-02-04 22:37:49 INFO  BlockManagerMaster:59 - BlockManagerMaster stopped
2018-02-04 22:37:49 INFO  OutputCommitCoordinator$OutputCommitCoordinatorEndpoint:59 - OutputCommitCoordinator stopped!
2018-02-04 22:37:49 INFO  SparkContext:59 - Successfully stopped SparkContext
2018-02-04 22:37:49 INFO  ShutdownHookManager:59 - Shutdown hook called
2018-02-04 22:37:49 INFO  ShutdownHookManager:59 - Deleting directory /tmp/spark-9dae561c-2e8f-4afa-864a-1ca2be0cc5e1
